,CompetitionId,DurationInt,M17,M18_3,M18_7,M18_15,M18_30,M18_deadline,M19
0,2435.0,97.0,6.0,2.0,6.0,15.0,25.0,107.0,0.056074766355140186
1,2438.0,9.0,1.0,11.0,49.0,68.0,68.0,68.0,0.014705882352941176
2,2439.0,110.0,4.0,1.0,6.0,17.0,32.0,145.0,0.027586206896551724
3,2442.0,9.0,1.0,7.0,45.0,63.0,63.0,63.0,0.015873015873015872
4,2445.0,70.0,11.0,8.0,13.0,26.0,68.0,204.0,0.05392156862745098
5,2447.0,107.0,9.0,21.0,36.0,58.0,102.0,252.0,0.03571428571428571
6,2448.0,42.0,4.0,3.0,4.0,7.0,12.0,55.0,0.07272727272727272
7,2452.0,63.0,3.0,3.0,3.0,5.0,12.0,42.0,0.07142857142857142
8,2454.0,121.0,1.0,6.0,7.0,10.0,13.0,57.0,0.017543859649122806
9,2464.0,65.0,13.0,7.0,11.0,21.0,34.0,117.0,0.1111111111111111
10,2467.0,83.0,18.0,20.0,30.0,59.0,103.0,356.0,0.05056179775280899
11,2478.0,50.0,10.0,13.0,21.0,46.0,89.0,176.0,0.056818181818181816
12,2479.0,87.0,9.0,11.0,15.0,26.0,47.0,181.0,0.049723756906077346
13,2487.0,86.0,4.0,0.0,4.0,12.0,19.0,70.0,0.05714285714285714
14,2488.0,41.0,4.0,4.0,5.0,7.0,15.0,30.0,0.13333333333333333
15,2489.0,76.0,4.0,8.0,17.0,29.0,60.0,259.0,0.015444015444015444
16,2496.0,730.0,160.0,0.0,0.0,0.0,2.0,1353.0,0.11825572801182557
17,2499.0,84.0,10.0,4.0,7.0,21.0,35.0,90.0,0.1111111111111111
18,2509.0,92.0,3.0,2.0,3.0,15.0,31.0,102.0,0.029411764705882353
19,2510.0,24.0,18.0,1.0,9.0,16.0,42.0,42.0,0.42857142857142855
20,2518.0,63.0,11.0,16.0,32.0,59.0,96.0,277.0,0.039711191335740074
21,2528.0,22.0,2.0,5.0,6.0,9.0,15.0,15.0,0.13333333333333333
22,2545.0,19.0,4.0,0.0,2.0,18.0,48.0,48.0,0.08333333333333333
23,2546.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,2547.0,73.0,0.0,1.0,1.0,1.0,2.0,15.0,0.0
25,2549.0,24.0,1.0,0.0,3.0,5.0,26.0,26.0,0.038461538461538464
26,2551.0,87.0,49.0,38.0,62.0,113.0,188.0,925.0,0.05297297297297297
27,2552.0,313.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
28,2555.0,15.0,0.0,1.0,7.0,322.0,322.0,322.0,0.0
29,2558.0,18.0,0.0,2.0,3.0,16.0,28.0,28.0,0.0
30,2559.0,9.0,0.0,8.0,22.0,44.0,44.0,44.0,0.0
31,2564.0,97.0,29.0,12.0,22.0,43.0,100.0,570.0,0.05087719298245614
32,2567.0,31.0,0.0,4.0,5.0,43.0,83.0,83.0,0.0
33,2579.0,38.0,11.0,0.0,0.0,0.0,1.0,19.0,0.5789473684210527
34,2583.0,21.0,3.0,0.0,0.0,4.0,16.0,16.0,0.1875
35,2584.0,54.0,0.0,1.0,2.0,2.0,6.0,39.0,0.0
36,2585.0,25.0,1.0,0.0,0.0,0.0,5.0,5.0,0.2
37,2586.0,149.0,0.0,0.0,0.0,0.0,0.0,,
38,2587.0,6.0,0.0,2.0,25.0,25.0,25.0,25.0,0.0
39,2588.0,67.0,0.0,0.0,0.0,1.0,10.0,11.0,0.0
40,2589.0,58.0,8.0,1.0,4.0,20.0,46.0,111.0,0.07207207207207207
41,2598.0,58.0,9.0,0.0,0.0,0.0,0.0,17.0,0.5294117647058824
42,2602.0,125.0,10.0,1.0,1.0,4.0,11.0,48.0,0.20833333333333334
43,2606.0,103.0,23.0,5.0,8.0,22.0,44.0,239.0,0.09623430962343096
44,2609.0,22.0,6.0,11.0,47.0,104.0,200.0,200.0,0.03
45,2610.0,45.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0
46,2623.0,27.0,0.0,2.0,6.0,61.0,64.0,64.0,0.0
47,2628.0,20.0,0.0,0.0,0.0,9.0,35.0,35.0,0.0
48,2635.0,27.0,7.0,0.0,2.0,3.0,16.0,16.0,0.4375
49,2647.0,18.0,8.0,0.0,0.0,13.0,21.0,21.0,0.38095238095238093
50,2655.0,30.0,0.0,1.0,1.0,1.0,12.0,12.0,0.0
51,2657.0,53.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
52,2658.0,81.0,0.0,0.0,0.0,2.0,4.0,14.0,0.0
53,2667.0,81.0,28.0,4.0,11.0,19.0,50.0,155.0,0.18064516129032257
54,2668.0,20.0,0.0,0.0,0.0,3.0,14.0,14.0,0.0
55,2669.0,20.0,0.0,0.0,0.0,4.0,14.0,14.0,0.0
56,2678.0,55.0,0.0,1.0,1.0,1.0,1.0,10.0,0.0
57,2689.0,33.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0
58,2695.0,27.0,0.0,1.0,1.0,4.0,73.0,73.0,0.0
59,2709.0,60.0,1.0,0.0,0.0,0.0,0.0,9.0,0.1111111111111111
60,2711.0,141.0,1.0,0.0,0.0,0.0,0.0,18.0,0.05555555555555555
61,2719.0,19.0,0.0,0.0,1.0,79.0,79.0,79.0,0.0
62,2732.0,95.0,31.0,0.0,0.0,21.0,52.0,264.0,0.11742424242424243
63,2737.0,94.0,0.0,1.0,1.0,2.0,20.0,31.0,0.0
64,2742.0,27.0,3.0,3.0,10.0,20.0,47.0,47.0,0.06382978723404255
65,2743.0,24.0,1.0,1.0,2.0,35.0,41.0,41.0,0.024390243902439025
66,2748.0,103.0,77.0,0.0,0.0,0.0,39.0,657.0,0.1171993911719939
67,2749.0,103.0,39.0,0.0,0.0,0.0,0.0,163.0,0.2392638036809816
68,2752.0,102.0,6.0,0.0,0.0,0.0,4.0,6.0,1.0
69,2758.0,79.0,4.0,6.0,7.0,9.0,21.0,75.0,0.05333333333333334
70,2759.0,9.0,0.0,1.0,54.0,62.0,62.0,62.0,0.0
71,2762.0,54.0,3.0,3.0,8.0,14.0,27.0,42.0,0.07142857142857142
72,2764.0,45.0,2.0,0.0,0.0,3.0,3.0,3.0,0.6666666666666666
73,2766.0,21.0,0.0,0.0,0.0,2.0,113.0,113.0,0.0
74,2770.0,13.0,5.0,0.0,1.0,36.0,36.0,36.0,0.1388888888888889
75,2778.0,35.0,0.0,0.0,1.0,20.0,78.0,78.0,0.0
76,2779.0,106.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
77,2780.0,91.0,58.0,17.0,45.0,76.0,162.0,699.0,0.08297567954220315
78,2783.0,12.0,5.0,0.0,1.0,41.0,41.0,41.0,0.12195121951219512
79,2791.0,32.0,0.0,2.0,2.0,30.0,33.0,33.0,0.0
80,2799.0,106.0,22.0,4.0,13.0,18.0,32.0,150.0,0.14666666666666667
81,2803.0,44.0,0.0,1.0,1.0,1.0,10.0,112.0,0.0
82,2820.0,24.0,14.0,0.0,0.0,1.0,15.0,15.0,0.9333333333333333
83,2822.0,20.0,0.0,2.0,4.0,69.0,90.0,90.0,0.0
84,2824.0,29.0,2.0,0.0,0.0,0.0,7.0,7.0,0.2857142857142857
85,2825.0,29.0,1.0,0.0,0.0,0.0,4.0,4.0,0.25
86,2826.0,39.0,2.0,1.0,1.0,1.0,1.0,8.0,0.25
87,2830.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
88,2831.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
89,2832.0,19.0,0.0,0.0,0.0,9.0,17.0,17.0,0.0
90,2834.0,6.0,0.0,0.0,33.0,33.0,33.0,33.0,0.0
91,2840.0,60.0,30.0,14.0,29.0,54.0,115.0,363.0,0.08264462809917356
92,2850.0,22.0,21.0,0.0,1.0,4.0,31.0,31.0,0.6774193548387096
93,2860.0,46.0,6.0,6.0,17.0,33.0,52.0,111.0,0.05405405405405406
94,2863.0,62.0,1.0,0.0,1.0,4.0,7.0,27.0,0.037037037037037035
95,2888.0,127.0,8.0,2.0,2.0,4.0,5.0,31.0,0.25806451612903225
96,2892.0,27.0,0.0,1.0,4.0,9.0,68.0,68.0,0.0
97,2895.0,52.0,6.0,3.0,8.0,14.0,24.0,89.0,0.06741573033707865
98,2914.0,60.0,0.0,1.0,2.0,2.0,3.0,13.0,0.0
99,2915.0,11.0,0.0,4.0,9.0,40.0,40.0,40.0,0.0
100,2917.0,84.0,2.0,0.0,0.0,1.0,4.0,29.0,0.06896551724137931
101,2935.0,23.0,1.0,10.0,13.0,21.0,26.0,26.0,0.038461538461538464
102,2947.0,35.0,0.0,51.0,108.0,174.0,323.0,418.0,0.0
103,2954.0,95.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
104,2958.0,75.0,8.0,5.0,6.0,13.0,29.0,86.0,0.09302325581395349
105,2959.0,72.0,21.0,1.0,1.0,8.0,41.0,156.0,0.1346153846153846
106,2969.0,121.0,20.0,9.0,15.0,22.0,40.0,179.0,0.11173184357541899
107,2974.0,63.0,1.0,0.0,0.0,0.0,0.0,12.0,0.08333333333333333
108,2975.0,61.0,18.0,8.0,15.0,19.0,52.0,241.0,0.07468879668049792
109,2984.0,63.0,14.0,0.0,9.0,18.0,45.0,146.0,0.0958904109589041
110,3007.0,60.0,1.0,0.0,0.0,1.0,2.0,10.0,0.1
111,3015.0,5.0,1.0,2.0,8.0,8.0,8.0,8.0,0.125
112,3023.0,3.0,0.0,52.0,52.0,52.0,52.0,52.0,0.0
113,3043.0,74.0,29.0,22.0,32.0,52.0,77.0,174.0,0.16666666666666666
114,3046.0,64.0,8.0,5.0,9.0,9.0,26.0,81.0,0.09876543209876543
115,3064.0,42.0,3.0,2.0,3.0,7.0,10.0,27.0,0.1111111111111111
116,3065.0,60.0,23.0,2.0,6.0,12.0,26.0,104.0,0.22115384615384615
117,3066.0,55.0,25.0,2.0,4.0,13.0,31.0,133.0,0.18796992481203006
118,3077.0,90.0,3.0,0.0,1.0,1.0,1.0,12.0,0.25
119,3080.0,42.0,7.0,12.0,20.0,31.0,43.0,96.0,0.07291666666666667
120,3081.0,84.0,10.0,1.0,1.0,3.0,5.0,22.0,0.45454545454545453
121,3084.0,65.0,48.0,13.0,25.0,51.0,93.0,353.0,0.1359773371104816
122,3085.0,16.0,0.0,0.0,0.0,13.0,22.0,22.0,0.0
123,3090.0,8.0,2.0,6.0,44.0,56.0,56.0,56.0,0.03571428571428571
124,3102.0,12.0,0.0,6.0,8.0,18.0,18.0,18.0,0.0
125,3106.0,25.0,0.0,1.0,2.0,8.0,29.0,29.0,0.0
126,3108.0,72.0,25.0,8.0,20.0,35.0,51.0,250.0,0.1
127,3112.0,31.0,1.0,0.0,0.0,1.0,9.0,10.0,0.1
128,3116.0,37.0,1.0,0.0,0.0,0.0,40.0,40.0,0.025
129,3118.0,55.0,0.0,0.0,0.0,0.0,10.0,51.0,0.0
130,3125.0,60.0,8.0,0.0,0.0,0.0,1.0,29.0,0.27586206896551724
131,3126.0,59.0,0.0,6.0,23.0,76.0,95.0,95.0,0.0
132,3132.0,59.0,13.0,1.0,1.0,42.0,49.0,55.0,0.23636363636363636
133,3135.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
134,3141.0,40.0,19.0,2.0,2.0,2.0,2.0,21.0,0.9047619047619048
135,3149.0,20.0,11.0,0.0,2.0,13.0,27.0,27.0,0.4074074074074074
136,3152.0,56.0,0.0,0.0,0.0,0.0,0.0,,
137,3154.0,57.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0
138,3161.0,26.0,1.0,1.0,1.0,1.0,9.0,9.0,0.1111111111111111
139,3163.0,28.0,0.0,7.0,19.0,40.0,115.0,115.0,0.0
140,3170.0,122.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
141,3175.0,105.0,52.0,17.0,25.0,38.0,82.0,370.0,0.14054054054054055
142,3184.0,38.0,0.0,0.0,2.0,3.0,43.0,49.0,0.0
143,3188.0,44.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0
144,3190.0,16.0,0.0,0.0,2.0,19.0,27.0,27.0,0.0
145,3191.0,16.0,0.0,0.0,0.0,17.0,27.0,27.0,0.0
146,3193.0,49.0,0.0,1.0,1.0,1.0,7.0,28.0,0.0
147,3194.0,61.0,1.0,0.0,0.0,0.0,1.0,12.0,0.08333333333333333
148,3198.0,95.0,0.0,9.0,15.0,37.0,81.0,361.0,0.0
149,3199.0,81.0,4.0,9.0,17.0,28.0,103.0,155.0,0.025806451612903226
150,3209.0,103.0,37.0,0.0,0.0,0.0,36.0,173.0,0.2138728323699422
151,3211.0,12.0,0.0,0.0,7.0,11.0,11.0,11.0,0.0
152,3219.0,23.0,19.0,0.0,1.0,4.0,43.0,43.0,0.4418604651162791
153,3232.0,46.0,1.0,0.0,0.0,0.0,15.0,43.0,0.023255813953488372
154,3235.0,26.0,0.0,0.0,2.0,15.0,80.0,80.0,0.0
155,3238.0,33.0,1.0,2.0,2.0,4.0,18.0,18.0,0.05555555555555555
156,3242.0,31.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
157,3250.0,40.0,4.0,1.0,1.0,1.0,6.0,35.0,0.11428571428571428
158,3251.0,20.0,0.0,0.0,0.0,8.0,28.0,28.0,0.0
159,3252.0,20.0,0.0,0.0,0.0,6.0,26.0,26.0,0.0
160,3254.0,14.0,0.0,0.0,0.0,0.0,0.0,,
161,3255.0,15.0,0.0,0.0,0.0,0.0,0.0,,
162,3272.0,17.0,0.0,1.0,2.0,20.0,48.0,48.0,0.0
163,3273.0,7.0,7.0,2.0,29.0,29.0,29.0,29.0,0.2413793103448276
164,3275.0,50.0,23.0,28.0,32.0,32.0,32.0,32.0,0.71875
165,3284.0,26.0,0.0,1.0,0.0,8.0,11.0,11.0,0.0
166,3288.0,41.0,35.0,27.0,52.0,95.0,152.0,225.0,0.15555555555555556
167,3289.0,55.0,2.0,0.0,1.0,2.0,5.0,19.0,0.10526315789473684
168,3294.0,36.0,27.0,25.0,72.0,129.0,226.0,365.0,0.07397260273972603
169,3296.0,39.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0
170,3300.0,49.0,2.0,0.0,0.0,0.0,2.0,23.0,0.08695652173913043
171,3316.0,82.0,61.0,24.0,57.0,109.0,189.0,476.0,0.12815126050420167
172,3331.0,99.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
173,3337.0,7.0,2.0,0.0,49.0,49.0,49.0,49.0,0.04081632653061224
174,3338.0,63.0,91.0,45.0,103.0,297.0,813.0,1688.0,0.05390995260663507
175,3341.0,15.0,0.0,1.0,2.0,11.0,11.0,11.0,0.0
176,3342.0,50.0,34.0,22.0,44.0,77.0,137.0,289.0,0.11764705882352941
177,3346.0,39.0,0.0,0.0,0.0,1.0,7.0,15.0,0.0
178,3347.0,89.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
179,3353.0,59.0,38.0,3.0,9.0,31.0,67.0,248.0,0.1532258064516129
180,3354.0,130.0,26.0,3.0,6.0,12.0,26.0,160.0,0.1625
181,3357.0,6.0,0.0,3.0,11.0,11.0,11.0,11.0,0.0
182,3358.0,54.0,0.0,1.0,5.0,24.0,35.0,36.0,0.0
183,3362.0,129.0,14.0,13.0,17.0,25.0,39.0,215.0,0.06511627906976744
184,3364.0,42.0,5.0,0.0,0.0,0.0,0.0,56.0,0.08928571428571429
185,3366.0,42.0,15.0,16.0,35.0,64.0,120.0,211.0,0.07109004739336493
186,3370.0,158.0,35.0,14.0,26.0,51.0,83.0,267.0,0.13108614232209737
187,3377.0,41.0,14.0,13.0,28.0,66.0,106.0,190.0,0.07368421052631578
188,3383.0,63.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0
189,3384.0,17.0,8.0,0.0,4.0,14.0,40.0,40.0,0.2
190,3385.0,31.0,1.0,8.0,13.0,14.0,40.0,40.0,0.025
191,3386.0,65.0,12.0,1.0,2.0,6.0,12.0,53.0,0.22641509433962265
192,3387.0,54.0,0.0,3.0,5.0,34.0,34.0,34.0,0.0
193,3412.0,2.0,2.0,48.0,48.0,48.0,48.0,48.0,0.041666666666666664
194,3414.0,49.0,2.0,7.0,19.0,51.0,65.0,94.0,0.02127659574468085
195,3420.0,59.0,12.0,0.0,0.0,1.0,35.0,38.0,0.3157894736842105
196,3421.0,9.0,17.0,2.0,23.0,38.0,38.0,38.0,0.4473684210526316
197,3425.0,60.0,0.0,2.0,2.0,9.0,36.0,227.0,0.0
198,3427.0,33.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0
199,3429.0,49.0,0.0,0.0,8.0,38.0,88.0,218.0,0.0
200,3435.0,9.0,12.0,2.0,17.0,37.0,37.0,37.0,0.32432432432432434
201,3436.0,25.0,6.0,0.0,0.0,0.0,6.0,6.0,1.0
202,3438.0,60.0,0.0,0.0,0.0,1.0,4.0,12.0,0.0
203,3439.0,58.0,0.0,3.0,7.0,52.0,69.0,71.0,0.0
204,3443.0,47.0,6.0,0.0,0.0,0.0,0.0,16.0,0.375
205,3445.0,70.0,91.0,38.0,73.0,137.0,250.0,555.0,0.16396396396396395
206,3446.0,54.0,39.0,11.0,25.0,45.0,75.0,239.0,0.16317991631799164
207,3465.0,71.0,0.0,3.0,3.0,3.0,4.0,15.0,0.0
208,3466.0,36.0,16.0,0.0,18.0,18.0,18.0,18.0,0.8888888888888888
209,3467.0,17.0,2.0,0.0,0.0,5.0,5.0,5.0,0.4
210,3470.0,19.0,0.0,0.0,1.0,9.0,47.0,47.0,0.0
211,3471.0,42.0,5.0,0.0,0.0,4.0,6.0,24.0,0.20833333333333334
212,3477.0,130.0,20.0,0.0,0.0,0.0,0.0,158.0,0.12658227848101267
213,3478.0,6.0,0.0,28.0,36.0,36.0,36.0,36.0,0.0
214,3483.0,3.0,14.0,36.0,36.0,36.0,36.0,36.0,0.3888888888888889
215,3484.0,3.0,14.0,35.0,35.0,35.0,35.0,35.0,0.4
216,3488.0,17.0,0.0,0.0,0.0,7.0,11.0,11.0,0.0
217,3492.0,3.0,10.0,31.0,31.0,31.0,31.0,31.0,0.3225806451612903
218,3495.0,19.0,2.0,1.0,3.0,4.0,8.0,8.0,0.25
219,3496.0,9.0,16.0,29.0,39.0,40.0,40.0,40.0,0.4
220,3497.0,16.0,0.0,6.0,24.0,66.0,66.0,66.0,0.0
221,3501.0,39.0,0.0,0.0,0.0,6.0,21.0,232.0,0.0
222,3504.0,62.0,48.0,8.0,16.0,48.0,98.0,337.0,0.142433234421365
223,3507.0,40.0,10.0,3.0,9.0,21.0,41.0,76.0,0.13157894736842105
224,3509.0,38.0,24.0,0.0,1.0,6.0,25.0,129.0,0.18604651162790697
225,3512.0,11.0,0.0,0.0,5.0,10.0,10.0,10.0,0.0
226,3516.0,122.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0
227,3517.0,63.0,21.0,1.0,4.0,7.0,15.0,79.0,0.26582278481012656
228,3521.0,51.0,17.0,0.0,0.0,18.0,46.0,130.0,0.13076923076923078
229,3524.0,122.0,76.0,8.0,16.0,44.0,102.0,633.0,0.12006319115323855
230,3525.0,13.0,1.0,1.0,1.0,6.0,6.0,6.0,0.16666666666666666
231,3526.0,76.0,0.0,14.0,29.0,65.0,179.0,625.0,0.0
232,3529.0,114.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
233,3531.0,28.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
234,3532.0,91.0,37.0,1.0,5.0,9.0,26.0,194.0,0.19072164948453607
235,3533.0,71.0,3.0,0.0,1.0,1.0,3.0,51.0,0.058823529411764705
236,3536.0,29.0,16.0,0.0,1.0,1.0,29.0,29.0,0.5517241379310345
237,3539.0,112.0,0.0,18.0,24.0,40.0,64.0,367.0,0.0
238,3540.0,46.0,0.0,18.0,34.0,78.0,173.0,425.0,0.0
239,3552.0,103.0,0.0,3.0,3.0,5.0,5.0,14.0,0.0
240,3555.0,89.0,27.0,1.0,1.0,2.0,4.0,40.0,0.675
241,3556.0,96.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
242,3557.0,96.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
243,3558.0,96.0,0.0,0.0,1.0,1.0,1.0,12.0,0.0
244,3559.0,96.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0
245,3560.0,95.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
246,3564.0,81.0,5.0,0.0,0.0,1.0,1.0,8.0,0.625
247,3565.0,48.0,6.0,0.0,1.0,1.0,1.0,10.0,0.6
248,3574.0,65.0,0.0,1.0,2.0,4.0,42.0,42.0,0.0
249,3578.0,20.0,0.0,0.0,0.0,23.0,38.0,38.0,0.0
250,3581.0,74.0,46.0,3.0,3.0,3.0,4.0,84.0,0.5476190476190477
251,3582.0,12.0,0.0,12.0,32.0,85.0,85.0,85.0,0.0
252,3583.0,24.0,1.0,0.0,0.0,1.0,4.0,4.0,0.25
253,3584.0,18.0,0.0,1.0,1.0,41.0,41.0,41.0,0.0
254,3585.0,57.0,1.0,1.0,1.0,2.0,3.0,9.0,0.1111111111111111
255,3586.0,65.0,27.0,7.0,13.0,22.0,44.0,259.0,0.10424710424710425
256,3592.0,61.0,5.0,0.0,1.0,4.0,5.0,63.0,0.07936507936507936
257,3594.0,16.0,0.0,1.0,2.0,22.0,22.0,22.0,0.0
258,3596.0,26.0,0.0,0.0,1.0,4.0,45.0,45.0,0.0
259,3597.0,26.0,0.0,0.0,0.0,4.0,43.0,43.0,0.0
260,3598.0,61.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
261,3599.0,60.0,50.0,3.0,12.0,26.0,58.0,550.0,0.09090909090909091
262,3602.0,54.0,5.0,0.0,0.0,0.0,6.0,24.0,0.20833333333333334
263,3603.0,14.0,0.0,0.0,1.0,21.0,21.0,21.0,0.0
264,3611.0,114.0,14.0,0.0,0.0,0.0,8.0,122.0,0.11475409836065574
265,3613.0,22.0,0.0,2.0,2.0,3.0,10.0,10.0,0.0
266,3616.0,16.0,0.0,0.0,6.0,37.0,37.0,37.0,0.0
267,3617.0,52.0,1.0,0.0,0.0,0.0,1.0,10.0,0.1
268,3618.0,60.0,9.0,0.0,0.0,1.0,4.0,37.0,0.24324324324324326
269,3620.0,33.0,9.0,0.0,0.0,1.0,5.0,9.0,1.0
270,3632.0,66.0,0.0,1.0,2.0,3.0,88.0,91.0,0.0
271,3633.0,9.0,0.0,2.0,9.0,21.0,21.0,21.0,0.0
272,3634.0,90.0,18.0,9.0,11.0,17.0,31.0,119.0,0.15126050420168066
