,CompetitionId,DurationInt,Is_X23,M21_3,M21_7,M21_15,M21_30,M21_deadline
0,2435.0,97.0,0.0,0.0,0.0,0.0,90.0,283.0
1,2438.0,9.0,0.0,0.0,0.0,0.0,0.0,
2,2439.0,110.0,0.0,115.0,191.0,289.0,434.0,873.0
3,2442.0,9.0,0.0,0.0,0.0,0.0,0.0,
4,2445.0,70.0,0.0,205.0,239.0,278.0,354.0,626.0
5,2447.0,107.0,0.0,187.0,225.0,268.0,385.0,642.0
6,2448.0,42.0,0.0,101.0,119.0,159.0,211.0,255.0
7,2452.0,63.0,0.0,42.0,49.0,67.0,118.0,180.0
8,2454.0,121.0,0.0,43.0,59.0,74.0,94.0,187.0
9,2464.0,65.0,0.0,94.0,119.0,165.0,281.0,400.0
10,2467.0,83.0,0.0,294.0,371.0,702.0,861.0,1177.0
11,2478.0,50.0,0.0,127.0,181.0,250.0,408.0,556.0
12,2479.0,87.0,0.0,66.0,144.0,252.0,350.0,774.0
13,2487.0,86.0,0.0,215.0,250.0,305.0,366.0,502.0
14,2488.0,41.0,0.0,73.0,95.0,137.0,193.0,198.0
15,2489.0,76.0,0.0,126.0,177.0,251.0,463.0,474.0
16,2496.0,730.0,0.0,1756.0,1983.0,2247.0,2595.0,12055.0
17,2499.0,84.0,0.0,257.0,338.0,449.0,534.0,757.0
18,2509.0,92.0,0.0,117.0,178.0,475.0,633.0,1121.0
19,2510.0,24.0,0.0,25.0,207.0,258.0,272.0,272.0
20,2518.0,63.0,0.0,0.0,0.0,0.0,0.0,
21,2528.0,22.0,0.0,0.0,0.0,0.0,0.0,
22,2545.0,19.0,1.0,0.0,0.0,0.0,0.0,
23,2546.0,24.0,0.0,0.0,0.0,0.0,0.0,
24,2547.0,73.0,1.0,0.0,0.0,0.0,0.0,
25,2549.0,24.0,0.0,75.0,133.0,168.0,208.0,208.0
26,2551.0,87.0,0.0,0.0,0.0,0.0,0.0,338.0
27,2552.0,313.0,0.0,0.0,0.0,0.0,0.0,17.0
28,2555.0,15.0,0.0,5.0,33.0,33.0,33.0,33.0
29,2558.0,18.0,0.0,15.0,15.0,15.0,15.0,15.0
30,2559.0,9.0,0.0,0.0,0.0,0.0,0.0,
31,2564.0,97.0,0.0,193.0,291.0,596.0,877.0,2671.0
32,2567.0,31.0,1.0,9.0,23.0,94.0,96.0,96.0
33,2579.0,38.0,1.0,0.0,0.0,0.0,0.0,
34,2583.0,21.0,1.0,0.0,0.0,0.0,0.0,
35,2584.0,54.0,1.0,0.0,0.0,0.0,0.0,
36,2585.0,25.0,1.0,0.0,0.0,0.0,0.0,
37,2586.0,149.0,1.0,1.0,1.0,1.0,1.0,3.0
38,2587.0,6.0,1.0,0.0,0.0,0.0,0.0,
39,2588.0,67.0,1.0,0.0,0.0,0.0,0.0,2.0
40,2589.0,58.0,0.0,227.0,422.0,561.0,760.0,1041.0
41,2598.0,58.0,1.0,0.0,0.0,0.0,0.0,
42,2602.0,125.0,0.0,85.0,189.0,258.0,352.0,637.0
43,2606.0,103.0,0.0,0.0,0.0,0.0,164.0,1554.0
44,2609.0,22.0,0.0,0.0,0.0,0.0,0.0,
45,2610.0,45.0,1.0,0.0,0.0,0.0,0.0,9.0
46,2623.0,27.0,0.0,24.0,42.0,74.0,75.0,75.0
47,2628.0,20.0,1.0,0.0,0.0,0.0,0.0,
48,2635.0,27.0,1.0,18.0,25.0,26.0,26.0,26.0
49,2647.0,18.0,1.0,2.0,2.0,34.0,35.0,35.0
50,2655.0,30.0,1.0,0.0,0.0,0.0,4.0,4.0
51,2657.0,53.0,0.0,0.0,0.0,0.0,1.0,3.0
52,2658.0,81.0,0.0,0.0,0.0,0.0,8.0,39.0
53,2667.0,81.0,0.0,483.0,530.0,637.0,785.0,1202.0
54,2668.0,20.0,0.0,0.0,0.0,0.0,0.0,
55,2669.0,20.0,0.0,0.0,0.0,0.0,0.0,
56,2678.0,55.0,1.0,3.0,3.0,5.0,6.0,10.0
57,2689.0,33.0,0.0,20.0,21.0,21.0,21.0,21.0
58,2695.0,27.0,1.0,0.0,4.0,37.0,84.0,84.0
59,2709.0,60.0,0.0,13.0,15.0,15.0,15.0,16.0
60,2711.0,141.0,0.0,1.0,1.0,2.0,3.0,33.0
61,2719.0,19.0,1.0,8.0,28.0,88.0,88.0,88.0
62,2732.0,95.0,0.0,240.0,346.0,482.0,696.0,1432.0
63,2737.0,94.0,1.0,8.0,11.0,22.0,31.0,33.0
64,2742.0,27.0,0.0,62.0,97.0,135.0,187.0,187.0
65,2743.0,24.0,1.0,24.0,37.0,69.0,69.0,69.0
66,2748.0,103.0,0.0,39.0,105.0,801.0,1463.0,2913.0
67,2749.0,103.0,0.0,18.0,48.0,486.0,760.0,1435.0
68,2752.0,102.0,0.0,2.0,3.0,13.0,15.0,21.0
69,2758.0,79.0,0.0,151.0,211.0,328.0,475.0,672.0
70,2759.0,9.0,0.0,7.0,67.0,67.0,67.0,67.0
