,M26_AU,M26_CA,M26_CN,M26_DE,M26_ES,M26_FR,M26_GB,M26_IN,M26_NL,M26_RU,M26_TW,M26_US,CompetitionId,M27_AU,M27_CA,M27_CN,M27_DE,M27_ES,M27_FR,M27_GB,M27_IN,M27_NL,M27_RU,M27_TW,M27_US,M28_IsClamped,M28_AU,M28_CA,M28_CN,M28_DE,M28_ES,M28_FR,M28_GB,M28_IN,M28_NL,M28_RU,M28_TW,M28_US
0,4,4,1,4,1,3,8,5,1,1,0,39,2435.0,11.0,6.0,1.0,4.0,2.0,5.0,13.0,2.0,1.0,1.0,3.0,50.0,1.0,0.36363636363636365,0.6666666666666666,1.0,1.0,0.5,0.6,0.6153846153846154,1.0,1.0,1.0,0.0,0.78
1,5,1,0,1,1,0,5,0,0,0,0,12,2438.0,9.0,2.0,1.0,2.0,1.0,0.0,7.0,0.0,1.0,0.0,3.0,22.0,,0.5555555555555556,0.5,0.0,0.5,1.0,,0.7142857142857143,,0.0,,0.0,0.5454545454545454
2,7,5,3,0,0,6,5,9,0,1,0,40,2439.0,25.0,11.0,8.0,7.0,4.0,11.0,19.0,10.0,2.0,2.0,3.0,123.0,,0.28,0.45454545454545453,0.375,0.0,0.0,0.5454545454545454,0.2631578947368421,0.9,0.0,0.5,0.0,0.3252032520325203
3,5,1,0,1,1,0,5,0,0,0,0,12,2442.0,9.0,2.0,1.0,2.0,1.0,0.0,7.0,0.0,1.0,0.0,3.0,22.0,,0.5555555555555556,0.5,0.0,0.5,1.0,,0.7142857142857143,,0.0,,0.0,0.5454545454545454
4,15,5,5,3,1,2,0,8,0,7,2,47,2445.0,41.0,21.0,20.0,19.0,10.0,11.0,27.0,25.0,5.0,18.0,4.0,224.0,,0.36585365853658536,0.23809523809523808,0.25,0.15789473684210525,0.1,0.18181818181818182,0.0,0.32,0.0,0.3888888888888889,0.5,0.20982142857142858
5,9,3,3,4,1,3,16,2,2,6,0,66,2447.0,25.0,15.0,7.0,8.0,5.0,13.0,23.0,11.0,4.0,3.0,3.0,142.0,1.0,0.36,0.2,0.42857142857142855,0.5,0.2,0.23076923076923078,0.6956521739130435,0.18181818181818182,0.5,1.0,0.0,0.4647887323943662
6,2,3,1,1,1,3,1,0,0,2,0,11,2448.0,18.0,8.0,5.0,6.0,3.0,10.0,16.0,3.0,1.0,1.0,3.0,92.0,1.0,0.1111111111111111,0.375,0.2,0.16666666666666666,0.3333333333333333,0.3,0.0625,0.0,0.0,1.0,0.0,0.11956521739130435
7,3,4,0,0,0,1,1,0,1,5,0,13,2452.0,23.0,15.0,7.0,8.0,5.0,13.0,23.0,11.0,4.0,6.0,0.0,141.0,,0.13043478260869565,0.26666666666666666,0.0,0.0,0.0,0.07692307692307693,0.043478260869565216,0.0,0.25,0.8333333333333334,,0.09219858156028368
8,2,7,3,3,2,0,2,0,1,2,0,28,2454.0,40.0,17.0,18.0,17.0,11.0,13.0,27.0,22.0,5.0,15.0,3.0,200.0,,0.05,0.4117647058823529,0.16666666666666666,0.17647058823529413,0.18181818181818182,0.0,0.07407407407407407,0.0,0.2,0.13333333333333333,0.0,0.14
9,3,4,4,6,5,2,2,2,0,4,0,33,2464.0,31.0,18.0,15.0,20.0,9.0,14.0,24.0,17.0,4.0,12.0,0.0,175.0,,0.0967741935483871,0.2222222222222222,0.26666666666666666,0.3,0.5555555555555556,0.14285714285714285,0.08333333333333333,0.11764705882352941,0.0,0.3333333333333333,,0.18857142857142858
10,12,12,6,10,2,2,5,4,2,14,1,63,2467.0,40.0,22.0,19.0,18.0,11.0,12.0,28.0,22.0,5.0,18.0,3.0,212.0,,0.3,0.5454545454545454,0.3157894736842105,0.5555555555555556,0.18181818181818182,0.16666666666666666,0.17857142857142858,0.18181818181818182,0.4,0.7777777777777778,0.3333333333333333,0.2971698113207547
11,5,4,2,3,2,2,2,19,2,2,0,67,2478.0,40.0,22.0,21.0,19.0,10.0,12.0,28.0,33.0,6.0,19.0,4.0,230.0,,0.125,0.18181818181818182,0.09523809523809523,0.15789473684210525,0.2,0.16666666666666666,0.07142857142857142,0.5757575757575758,0.3333333333333333,0.10526315789473684,0.0,0.29130434782608694
12,5,6,7,3,4,2,15,6,6,9,0,81,2479.0,42.0,49.0,25.0,24.0,9.0,13.0,43.0,34.0,22.0,27.0,4.0,303.0,,0.11904761904761904,0.12244897959183673,0.28,0.125,0.4444444444444444,0.15384615384615385,0.3488372093023256,0.17647058823529413,0.2727272727272727,0.3333333333333333,0.0,0.26732673267326734
13,4,7,4,2,1,0,9,4,0,3,0,43,2487.0,111.0,56.0,21.0,25.0,12.0,11.0,53.0,43.0,24.0,63.0,2.0,423.0,,0.036036036036036036,0.125,0.19047619047619047,0.08,0.08333333333333333,0.0,0.16981132075471697,0.09302325581395349,0.0,0.047619047619047616,0.0,0.1016548463356974
14,4,2,0,1,1,0,2,7,2,0,0,10,2488.0,39.0,46.0,22.0,23.0,9.0,12.0,35.0,31.0,12.0,22.0,4.0,249.0,,0.10256410256410256,0.043478260869565216,0.0,0.043478260869565216,0.1111111111111111,0.0,0.05714285714285714,0.22580645161290322,0.16666666666666666,0.0,0.0,0.040160642570281124
15,22,12,5,9,3,6,13,15,8,25,0,126,2489.0,44.0,51.0,26.0,26.0,11.0,14.0,44.0,35.0,21.0,41.0,4.0,326.0,,0.5,0.23529411764705882,0.19230769230769232,0.34615384615384615,0.2727272727272727,0.42857142857142855,0.29545454545454547,0.42857142857142855,0.38095238095238093,0.6097560975609756,0.0,0.38650306748466257
16,138,101,65,83,28,41,99,152,40,94,7,1538,2496.0,88.0,158.0,181.0,102.0,53.0,80.0,259.0,221.0,87.0,195.0,16.0,1812.0,1.0,1.0,0.6392405063291139,0.35911602209944754,0.8137254901960784,0.5283018867924528,0.5125,0.38223938223938225,0.6877828054298643,0.45977011494252873,0.48205128205128206,0.4375,0.8487858719646799
17,8,14,5,4,1,4,9,17,4,8,0,68,2499.0,121.0,59.0,21.0,26.0,14.0,11.0,61.0,48.0,21.0,66.0,1.0,468.0,,0.06611570247933884,0.23728813559322035,0.23809523809523808,0.15384615384615385,0.07142857142857142,0.36363636363636365,0.14754098360655737,0.3541666666666667,0.19047619047619047,0.12121212121212122,0.0,0.1452991452991453
18,24,2,8,6,4,9,14,15,1,2,0,81,2509.0,140.0,40.0,17.0,36.0,16.0,17.0,73.0,63.0,17.0,130.0,1.0,514.0,,0.17142857142857143,0.05,0.47058823529411764,0.16666666666666666,0.25,0.5294117647058824,0.1917808219178082,0.23809523809523808,0.058823529411764705,0.015384615384615385,0.0,0.1575875486381323
19,99,1,0,0,0,0,0,7,0,0,0,7,2510.0,111.0,52.0,21.0,23.0,12.0,11.0,46.0,34.0,23.0,61.0,2.0,403.0,,0.8918918918918919,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.20588235294117646,0.0,0.0,0.0,0.017369727047146403
20,40,21,7,12,7,5,56,50,5,20,2,189,2518.0,135.0,62.0,23.0,32.0,15.0,11.0,73.0,58.0,21.0,71.0,1.0,496.0,1.0,0.2962962962962963,0.3387096774193548,0.30434782608695654,0.375,0.4666666666666667,0.45454545454545453,0.7671232876712328,0.8620689655172413,0.23809523809523808,0.28169014084507044,1.0,0.3810483870967742
21,2,0,0,0,0,0,0,0,0,0,0,16,2528.0,135.0,61.0,23.0,32.0,15.0,11.0,73.0,59.0,21.0,71.0,1.0,497.0,,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03219315895372234
22,17,0,0,1,0,0,0,0,0,0,0,0,2545.0,155.0,39.0,18.0,39.0,16.0,20.0,73.0,68.0,17.0,139.0,1.0,530.0,,0.10967741935483871,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,0,0,0,0,0,0,0,0,0,0,0,2546.0,138.0,39.0,18.0,33.0,15.0,14.0,72.0,60.0,20.0,71.0,1.0,500.0,,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0,0,0,0,0,0,0,0,0,0,1,2547.0,182.0,61.0,29.0,43.0,19.0,22.0,124.0,98.0,21.0,128.0,1.0,714.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014005602240896359
25,2,0,0,2,0,5,1,1,0,0,0,26,2549.0,147.0,39.0,17.0,38.0,16.0,19.0,72.0,64.0,18.0,133.0,1.0,522.0,,0.013605442176870748,0.0,0.0,0.05263157894736842,0.0,0.2631578947368421,0.013888888888888888,0.015625,0.0,0.0,0.0,0.04980842911877394
26,83,44,27,32,4,20,65,102,19,31,2,637,2551.0,206.0,108.0,36.0,56.0,15.0,26.0,150.0,124.0,23.0,124.0,1.0,1005.0,1.0,0.4029126213592233,0.4074074074074074,0.75,0.5714285714285714,0.26666666666666666,0.7692307692307693,0.43333333333333335,0.8225806451612904,0.8260869565217391,0.25,1.0,0.6338308457711442
27,0,0,0,0,1,1,3,0,0,0,0,0,2552.0,25.0,16.0,9.0,15.0,7.0,15.0,24.0,12.0,4.0,7.0,0.0,164.0,,0.0,0.0,0.0,0.0,0.14285714285714285,0.06666666666666667,0.125,0.0,0.0,0.0,,0.0
28,0,20,2,0,0,0,2,0,0,2,0,9,2555.0,38.0,46.0,20.0,23.0,9.0,12.0,34.0,30.0,12.0,22.0,4.0,244.0,,0.0,0.43478260869565216,0.1,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.09090909090909091,0.0,0.036885245901639344
29,1,3,0,0,0,0,1,0,0,0,0,9,2558.0,40.0,46.0,23.0,23.0,8.0,12.0,36.0,32.0,17.0,23.0,4.0,257.0,,0.025,0.06521739130434782,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.03501945525291829
30,0,0,1,0,0,0,0,0,6,0,0,2,2559.0,40.0,46.0,23.0,23.0,9.0,12.0,35.0,31.0,17.0,23.0,4.0,250.0,,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,0.0,0.008
31,44,18,17,40,6,12,32,48,7,16,16,273,2564.0,211.0,111.0,49.0,71.0,23.0,31.0,156.0,136.0,24.0,128.0,15.0,1075.0,1.0,0.20853080568720378,0.16216216216216217,0.3469387755102041,0.5633802816901409,0.2608695652173913,0.3870967741935484,0.20512820512820512,0.35294117647058826,0.2916666666666667,0.125,1.0,0.25395348837209303
32,0,0,0,0,0,0,0,0,0,73,0,1,2567.0,155.0,39.0,18.0,39.0,16.0,20.0,73.0,68.0,17.0,139.0,1.0,530.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251798561151079,0.0,0.0018867924528301887
33,0,0,0,0,0,0,0,0,0,0,0,27,2579.0,161.0,42.0,19.0,40.0,16.0,21.0,74.0,78.0,15.0,136.0,1.0,565.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047787610619469026
34,0,0,1,0,0,0,36,0,0,0,0,1,2584.0,182.0,61.0,29.0,43.0,19.0,22.0,124.0,98.0,21.0,128.0,1.0,714.0,,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0,0.0014005602240896359
35,1,0,0,0,0,0,0,0,0,0,0,7,2585.0,161.0,43.0,19.0,40.0,15.0,20.0,76.0,80.0,14.0,127.0,1.0,569.0,,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012302284710017574
36,0,0,0,0,0,0,16,0,0,0,0,0,2586.0,135.0,164.0,102.0,77.0,28.0,44.0,225.0,119.0,29.0,160.0,35.0,1195.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.07111111111111111,0.0,0.0,0.0,0.0,0.0
37,17,11,14,8,7,6,12,19,1,6,0,114,2589.0,198.0,111.0,49.0,73.0,23.0,31.0,155.0,137.0,24.0,128.0,15.0,1079.0,,0.08585858585858586,0.0990990990990991,0.2857142857142857,0.1095890410958904,0.30434782608695654,0.1935483870967742,0.07741935483870968,0.1386861313868613,0.041666666666666664,0.046875,0.0,0.1056533827618165
38,3,3,5,2,2,3,5,9,0,5,1,86,2602.0,136.0,160.0,185.0,77.0,30.0,43.0,219.0,115.0,73.0,208.0,49.0,1256.0,,0.022058823529411766,0.01875,0.02702702702702703,0.025974025974025976,0.06666666666666667,0.06976744186046512,0.0228310502283105,0.0782608695652174,0.0,0.02403846153846154,0.02040816326530612,0.06847133757961783
39,25,11,33,24,10,8,21,39,11,15,20,260,2606.0,136.0,109.0,55.0,76.0,23.0,34.0,184.0,131.0,24.0,128.0,32.0,1157.0,,0.18382352941176472,0.10091743119266056,0.6,0.3157894736842105,0.43478260869565216,0.23529411764705882,0.11413043478260869,0.29770992366412213,0.4583333333333333,0.1171875,0.625,0.2247191011235955
40,43,18,5,9,3,8,20,18,2,18,1,147,2609.0,173.0,53.0,26.0,40.0,18.0,21.0,91.0,90.0,20.0,129.0,1.0,643.0,,0.24855491329479767,0.33962264150943394,0.19230769230769232,0.225,0.16666666666666666,0.38095238095238093,0.21978021978021978,0.2,0.1,0.13953488372093023,1.0,0.2286158631415241
41,0,0,0,0,0,0,20,0,0,0,0,0,2610.0,206.0,108.0,36.0,57.0,15.0,26.0,150.0,124.0,23.0,124.0,1.0,1008.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
42,0,0,0,0,0,0,0,0,0,68,0,0,2623.0,204.0,106.0,35.0,55.0,15.0,25.0,148.0,120.0,23.0,122.0,1.0,971.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5573770491803278,0.0,0.0
43,0,0,0,0,0,0,0,0,0,0,0,16,2628.0,182.0,61.0,29.0,43.0,19.0,22.0,124.0,97.0,21.0,129.0,1.0,709.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022566995768688293
44,0,0,0,0,0,0,0,0,0,0,0,27,2635.0,189.0,79.0,31.0,49.0,19.0,24.0,136.0,106.0,23.0,128.0,1.0,871.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030998851894374284
