,CompetitionId,DurationInt,M4_launch,M4_3,M4_7,M4_15,M4_30,M4_deadline,M4_IsClamped
0,2435.0,97.0,1.0,3.0,7.0,20.0,53.0,236.0,
1,2438.0,9.0,64.0,69.0,106.0,127.0,127.0,127.0,
2,2439.0,110.0,137.0,144.0,153.0,172.0,204.0,558.0,
3,2442.0,9.0,64.0,69.0,106.0,127.0,127.0,127.0,
4,2445.0,70.0,739.0,768.0,794.0,835.0,904.0,1188.0,
5,2447.0,107.0,236.0,279.0,299.0,322.0,375.0,644.0,
6,2448.0,42.0,295.0,309.0,321.0,354.0,393.0,449.0,
7,2452.0,63.0,449.0,470.0,486.0,517.0,577.0,635.0,
8,2454.0,121.0,558.0,561.0,568.0,585.0,601.0,1055.0,
9,2464.0,65.0,599.0,608.0,631.0,640.0,709.0,904.0,
10,2467.0,83.0,640.0,670.0,688.0,709.0,819.0,1151.0,
11,2478.0,50.0,932.0,954.0,990.0,1009.0,1175.0,1210.0,
12,2479.0,87.0,1048.0,1092.0,1151.0,1188.0,1211.0,1654.0,
13,2487.0,86.0,1748.0,1764.0,1779.0,1754.0,1749.0,1665.0,
14,2488.0,41.0,1191.0,1198.0,1210.0,1209.0,1257.0,1551.0,
15,2489.0,76.0,1191.0,1198.0,1210.0,1209.0,1257.0,1743.0,
16,2496.0,730.0,1373.0,1541.0,1566.0,1583.0,1654.0,4790.0,
17,2499.0,84.0,1755.0,1758.0,1757.0,1799.0,1822.0,1705.0,
18,2509.0,92.0,1795.0,1788.0,1807.0,1817.0,1687.0,1666.0,
19,2510.0,24.0,355.0,355.0,355.0,355.0,355.0,355.0,1.0
20,2518.0,63.0,1816.0,1819.0,1829.0,1674.0,1673.0,1829.0,
21,2528.0,22.0,31.0,31.0,31.0,31.0,31.0,31.0,1.0
22,2545.0,19.0,275.0,275.0,275.0,275.0,275.0,275.0,1.0
23,2546.0,24.0,275.0,275.0,275.0,275.0,275.0,275.0,1.0
24,2547.0,73.0,26.0,26.0,26.0,26.0,26.0,26.0,1.0
25,2549.0,24.0,1747.0,1781.0,1829.0,1561.0,1711.0,1711.0,
26,2551.0,87.0,1697.0,1741.0,1781.0,1533.0,1729.0,2896.0,
27,2552.0,313.0,1.0,1.0,1.0,1.0,1.0,778.0,
28,2555.0,15.0,1205.0,1214.0,1295.0,1543.0,1543.0,1543.0,
29,2558.0,18.0,1214.0,1273.0,1342.0,1566.0,1579.0,1579.0,
30,2559.0,9.0,1342.0,1487.0,1558.0,1568.0,1568.0,1568.0,
31,2564.0,97.0,1829.0,1779.0,1565.0,1695.0,1861.0,3188.0,
32,2567.0,31.0,144.0,144.0,144.0,144.0,144.0,144.0,1.0
33,2579.0,38.0,110.0,110.0,110.0,110.0,110.0,110.0,1.0
34,2583.0,21.0,121.0,121.0,121.0,121.0,121.0,121.0,1.0
35,2584.0,54.0,173.0,173.0,173.0,173.0,173.0,173.0,1.0
36,2585.0,25.0,362.0,362.0,362.0,362.0,362.0,362.0,1.0
37,2586.0,149.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0
38,2587.0,6.0,53.0,53.0,53.0,53.0,53.0,53.0,1.0
39,2588.0,67.0,24.0,24.0,24.0,24.0,24.0,24.0,1.0
40,2589.0,58.0,2008.0,2113.0,2260.0,2417.0,2773.0,3181.0,
41,2598.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,1.0
42,2602.0,125.0,2714.0,2745.0,2887.0,2958.0,3186.0,4070.0,
43,2606.0,103.0,2260.0,2329.0,2398.0,2611.0,2933.0,3328.0,
44,2609.0,22.0,1866.0,1879.0,1951.0,2039.0,2306.0,2306.0,
45,2610.0,45.0,112.0,112.0,112.0,112.0,112.0,112.0,1.0
46,2623.0,27.0,82.0,82.0,82.0,82.0,82.0,82.0,1.0
47,2628.0,20.0,75.0,75.0,75.0,75.0,75.0,75.0,1.0
48,2635.0,27.0,155.0,155.0,155.0,155.0,155.0,155.0,1.0
49,2647.0,18.0,127.0,127.0,127.0,127.0,127.0,127.0,1.0
50,2655.0,30.0,22.0,22.0,22.0,22.0,22.0,22.0,1.0
