Id,X10,X12,X13,X16,X17,X18,X22,X23,Day0,DayEnd
2552,3,1,8,,3,,,,37.0,350.0
2435,3,1,1,1.0,1,,,,117.0,214.0
2438,4,1,1,3.0,1,,,,153.0,162.0
2442,4,1,1,3.0,1,,,,153.0,162.0
2439,5,1,1,4.0,1,,,,172.0,282.0
2447,2,1,1,18.0,1,,,,214.0,321.0
2448,4,1,1,19.0,1,,,,220.0,262.0
2452,4,1,1,20.0,1,,,,262.0,325.0
2454,5,1,1,21.0,1,,,,282.0,403.0
2464,5,1,1,26.0,1,,,,311.0,376.0
2467,2,1,1,29.0,1,,,,326.0,409.0
2445,5,1,1,30.0,1,,,,346.0,416.0
2478,5,1,1,33.0,1,,,,383.0,433.0
2479,7,1,1,34.0,1,,,,402.0,489.0
2488,6,1,1,40.0,1,,,,423.0,464.0
2489,5,1,1,41.0,1,,,,423.0,499.0
2555,2,1,8,54.0,3,,,,448.0,463.0
2558,3,1,8,,3,,,,451.0,469.0
2559,2,1,8,,3,,,,458.0,467.0
2496,8,1,1,42.0,1,,,,459.0,1189.0
2487,2,1,1,43.0,1,,,,508.0,594.0
2499,8,1,1,44.0,1,,,,544.0,628.0
2510,2,1,3,45.0,1,,1.0,,551.0,575.0
2509,10,1,1,46.0,1,,,,558.0,650.0
2518,12,1,1,47.0,1,,,,575.0,638.0
2528,5,1,1,48.0,1,,2.0,,617.0,639.0
2546,13,1,8,49.0,3,,12.0,,621.0,645.0
2547,2,1,8,50.0,3,,,13.0,624.0,697.0
2551,5,1,1,51.0,1,,,,627.0,714.0
2549,5,1,1,55.0,1,,,,631.0,655.0
2567,3,1,8,56.0,3,,,15.0,632.0,663.0
2564,9,1,1,57.0,1,,,,638.0,735.0
2579,5,1,8,58.0,3,,,20.0,638.0,676.0
2583,6,1,8,59.0,3,,,22.0,641.0,662.0
2584,14,1,8,60.0,3,,,23.0,643.0,697.0
2545,13,1,8,61.0,3,,,11.0,644.0,663.0
2587,2,1,8,62.0,3,,,26.0,646.0,652.0
2588,5,1,8,63.0,3,,,28.0,648.0,715.0
2585,5,1,8,64.0,3,,,24.0,653.0,678.0
2586,2,1,8,65.0,3,,,25.0,664.0,813.0
2609,7,1,1,66.0,1,,,,667.0,689.0
2610,3,1,8,67.0,3,,,33.0,670.0,715.0
2628,2,1,8,70.0,3,,,42.0,676.0,696.0
2635,2,1,8,72.0,3,,,44.0,677.0,704.0
2589,2,1,1,71.0,1,,,,680.0,738.0
2655,5,1,8,74.0,3,,,53.0,685.0,715.0
2623,19,1,8,75.0,3,,40.0,,685.0,712.0
2606,7,1,1,76.0,1,,,,687.0,790.0
2658,20,1,8,77.0,3,,,,690.0,771.0
2647,3,1,8,78.0,3,,,49.0,690.0,708.0
2668,2,1,8,79.0,3,,260.0,,691.0,711.0
2669,5,1,8,80.0,3,,261.0,,691.0,711.0
2657,5,1,1,81.0,1,,249.0,,692.0,745.0
2678,6,1,8,82.0,3,,,281.0,697.0,752.0
2602,17,1,1,69.0,1,,,,706.0,831.0
2695,14,1,8,83.0,3,,,304.0,706.0,733.0
2719,5,1,8,84.0,3,,,341.0,734.0,753.0
2689,22,1,2,85.0,1,,321.0,,736.0,769.0
2711,5,1,8,86.0,3,,,,740.0,881.0
2732,23,1,1,90.0,1,,,,756.0,851.0
2737,5,1,8,94.0,3,,,363.0,763.0,857.0
2709,25,1,1,97.0,1,,401.0,,770.0,830.0
2667,22,1,1,89.0,1,,,,770.0,851.0
2770,14,1,8,99.0,3,,,414.0,775.0,788.0
2748,33,1,1,92.0,1,,,,780.0,883.0
2749,38,1,1,93.0,1,,,,780.0,883.0
2752,5,1,8,100.0,3,,,,781.0,883.0
2762,14,2,1,101.0,1,,,,782.0,836.0
2764,3,1,8,102.0,3,,405.0,,785.0,830.0
2791,3,1,8,103.0,3,,,445.0,788.0,820.0
2778,28,1,8,104.0,3,,,427.0,788.0,823.0
2759,3,1,8,105.0,3,,397.0,,789.0,798.0
2743,34,1,8,106.0,3,,,371.0,795.0,819.0
2803,3,1,8,107.0,3,,460.0,,798.0,842.0
2779,2,1,8,108.0,3,,,429.0,805.0,911.0
2780,25,1,1,109.0,1,,,,806.0,897.0
2783,14,1,8,110.0,3,,,435.0,806.0,818.0
2742,30,2,2,111.0,1,,,,809.0,836.0
2822,3,1,8,112.0,3,,,487.0,810.0,830.0
2824,14,1,8,113.0,3,,,490.0,812.0,841.0
2825,14,1,8,114.0,3,,,492.0,812.0,841.0
2826,10,1,8,115.0,3,,,494.0,813.0,852.0
2832,14,1,8,116.0,3,,,507.0,818.0,837.0
2834,2,1,8,117.0,3,,508.0,,818.0,824.0
2831,5,1,8,118.0,3,,,,818.0,821.0
2830,14,1,8,119.0,3,,,501.0,830.0,844.0
2820,14,1,8,120.0,3,,,484.0,830.0,854.0
2850,2,1,8,121.0,3,,526.0,,840.0,862.0
2799,37,2,2,123.0,1,,,,846.0,952.0
2892,3,1,8,125.0,3,,,584.0,851.0,878.0
2840,8,1,1,126.0,1,,,,855.0,915.0
2888,17,2,1,127.0,1,,,,858.0,985.0
2895,40,2,1,128.0,1,,,,859.0,911.0
2915,2,1,8,129.0,3,,,613.0,861.0,872.0
2860,40,2,1,130.0,1,,,,865.0,911.0
2947,37,3,5,131.0,1,,,,887.0,922.0
2935,2,4,1,132.0,1,1.0,,,889.0,912.0
2954,2,4,1,133.0,1,2.0,,,889.0,984.0
2958,30,2,1,134.0,1,,,,900.0,975.0
2758,37,4,1,135.0,1,11.0,,,902.0,981.0
2959,22,4,1,136.0,1,10.0,,,907.0,979.0
2766,2,1,8,137.0,3,,409.0,,914.0,935.0
2917,229,2,1,138.0,1,,,,914.0,998.0
2984,25,2,1,139.0,1,,,,921.0,984.0
2863,228,1,1,141.0,1,,,,930.0,992.0
3015,14,1,8,142.0,3,,,735.0,932.0,937.0
2974,2,1,1,144.0,1,,681.0,,939.0,1002.0
3046,37,4,1,146.0,1,14.0,,,946.0,1010.0
3007,5,1,8,147.0,3,,,757.0,948.0,1008.0
2975,231,1,1,151.0,1,7.0,,,959.0,1020.0
3085,14,1,8,152.0,3,,,800.0,959.0,975.0
3064,37,2,1,153.0,1,8.0,,,961.0,1003.0
3080,37,2,1,154.0,1,,,,961.0,1003.0
3090,2,4,1,155.0,1,3.0,,,961.0,969.0
3043,30,1,1,156.0,1,9.0,,,964.0,1038.0
3102,22,2,8,157.0,3,,,819.0,971.0,983.0
3108,32,1,1,158.0,1,17.0,,,973.0,1045.0
3065,233,2,1,159.0,1,,,,974.0,1034.0
3081,14,1,8,150.0,3,,,797.0,978.0,1062.0
3066,2,2,1,160.0,1,,,,979.0,1034.0
3126,5,1,8,161.0,3,,,,984.0,1043.0
3132,6,1,8,162.0,3,,,853.0,985.0,1044.0
3077,25,6,1,163.0,1,,,792.0,986.0,1076.0
3135,25,1,8,164.0,3,,857.0,,986.0,1076.0
3112,2,4,1,165.0,1,12.0,,,988.0,1019.0
3023,5,3,1,148.0,1,6.0,,,992.0,995.0
2914,6,1,1,166.0,1,,802.0,,1002.0,1062.0
3118,236,1,8,168.0,3,,,836.0,1006.0,1061.0
3152,25,1,8,169.0,3,,,,1008.0,1064.0
3154,2,1,8,170.0,3,,,,1009.0,1066.0
3125,22,1,8,171.0,3,,,844.0,1015.0,1075.0
3149,2,1,8,172.0,3,,,875.0,1015.0,1035.0
3116,5,1,8,173.0,3,,,906.0,1015.0,1052.0
3084,234,3,1,174.0,1,,,,1016.0,1081.0
3106,2,1,8,175.0,3,,,824.0,1021.0,1046.0
3184,5,1,1,176.0,3,,,922.0,1026.0,1064.0
3163,5,3,5,177.0,1,15.0,,,1028.0,1056.0
3190,2,1,8,178.0,3,,,930.0,1030.0,1046.0
3191,2,1,8,179.0,3,,,932.0,1030.0,1046.0
3170,14,1,8,180.0,3,,,903.0,1036.0,1158.0
3211,32,1,8,181.0,3,,,,1037.0,1049.0
3219,14,1,8,182.0,3,,,959.0,1040.0,1063.0
3193,14,1,8,184.0,3,,,,1041.0,1090.0
3161,5,1,8,185.0,3,,,890.0,1044.0,1070.0
3188,37,1,8,186.0,3,,,927.0,1044.0,1088.0
3235,19,1,8,187.0,3,,,,1047.0,1073.0
3242,3,1,8,188.0,3,,,988.0,1050.0,1081.0
3238,14,1,8,189.0,3,,,,1054.0,1087.0
2598,5,1,8,190.0,3,,,32.0,1056.0,1114.0
3251,5,1,8,191.0,3,,,998.0,1060.0,1080.0
3252,5,1,8,192.0,3,,,1000.0,1060.0,1080.0
3254,14,1,8,193.0,3,,,1004.0,1061.0,1075.0
3255,14,1,8,194.0,3,,,1006.0,1061.0,1076.0
3199,2,7,1,196.0,1,16.0,,,1063.0,1144.0
3209,240,7,1,197.0,1,,,,1063.0,1166.0
3194,238,6,1,199.0,1,,,936.0,1069.0,1130.0
3272,14,1,8,200.0,3,,,,1071.0,1088.0
3275,14,1,8,201.0,3,,,1031.0,1072.0,1122.0
3250,2,2,1,202.0,1,19.0,,,1075.0,1115.0
3294,239,1,1,203.0,1,21.0,,,1078.0,1114.0
3289,2,2,1,205.0,1,20.0,,,1079.0,1134.0
3273,228,1,8,,3,,,,1081.0,1088.0
3296,14,1,8,206.0,3,,,1063.0,1095.0,1134.0
3141,5,1,8,,3,,,864.0,1100.0,1140.0
3284,2,1,8,209.0,3,,,1045.0,1106.0,1132.0
3288,37,1,1,210.0,1,26.0,,,1106.0,1147.0
3341,236,1,8,211.0,3,,,1119.0,1112.0,1127.0
3331,2,1,8,212.0,3,,,1108.0,1117.0,1216.0
3316,8,1,1,213.0,1,,,,1121.0,1203.0
3357,18,1,8,214.0,3,,,1138.0,1124.0,1130.0
3358,14,1,8,215.0,3,,,1140.0,1126.0,1180.0
3300,2,2,1,217.0,1,25.0,,,1132.0,1181.0
3346,14,1,8,218.0,3,,,,1133.0,1172.0
3353,5,1,1,219.0,1,28.0,,,1134.0,1193.0
3384,14,1,8,220.0,3,,,,1135.0,1152.0
3383,5,1,8,221.0,3,,,1173.0,1135.0,1198.0
3342,6,1,1,222.0,1,,,,1139.0,1189.0
